"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","id","Day"
2008,10,1,3,2150,2200,2250,2310,"OO",2815,"N479CA",60,70,50,-20,-10,"MKE","DSM",311,4,6,0,"",0,NA,NA,NA,NA,NA,123848147,"Wednesday"
2008,10,1,3,545,555,653,700,"OO",2878,"N472CA",68,65,50,-7,-10,"DSM","MKE",311,5,13,0,"",0,NA,NA,NA,NA,NA,123848647,"Wednesday"
2008,10,1,3,1103,1108,1337,1340,"OO",5905,"N765SK",94,92,77,-3,-5,"DEN","DSM",589,3,14,0,"",0,NA,NA,NA,NA,NA,123872040,"Wednesday"
2008,10,1,3,1411,1417,1458,1506,"OO",5905,"N765SK",107,109,84,-8,-6,"DSM","DEN",589,16,7,0,"",0,NA,NA,NA,NA,NA,123872053,"Wednesday"
2008,10,1,3,1216,1212,1318,1320,"OO",5967,"N719SK",62,68,46,-2,4,"ORD","DSM",299,4,12,0,"",0,NA,NA,NA,NA,NA,123873796,"Wednesday"
2008,10,1,3,1521,1525,1753,1757,"OO",5972,"N965SW",92,92,79,-4,-4,"DEN","DSM",589,4,9,0,"",0,NA,NA,NA,NA,NA,123873975,"Wednesday"
2008,10,1,3,1826,1832,1910,1922,"OO",5972,"N965SW",104,110,89,-12,-6,"DSM","DEN",589,8,7,0,"",0,NA,NA,NA,NA,NA,123873976,"Wednesday"
2008,10,1,3,1351,1356,1457,1508,"OO",5988,"N719SK",66,72,49,-11,-5,"DSM","ORD",299,5,12,0,"",0,NA,NA,NA,NA,NA,123874336,"Wednesday"
2008,10,1,3,1200,1201,1236,1253,"UA",227,"N932UA",96,112,85,-17,-1,"DSM","DEN",589,5,6,0,"",0,NA,NA,NA,NA,NA,123896722,"Wednesday"
2008,10,1,3,2004,2010,2236,2246,"UA",230,"N925UA",92,96,78,-10,-6,"DEN","DSM",589,4,10,0,"",0,NA,NA,NA,NA,NA,123896784,"Wednesday"
2008,10,1,3,951,957,1055,1123,"UA",249,"N932UA",64,86,50,-28,-6,"ORD","DSM",299,3,11,0,"",0,NA,NA,NA,NA,NA,123897306,"Wednesday"
2008,10,1,3,853,905,954,1021,"UA",399,"N315UA",61,76,45,-27,-12,"ORD","DSM",299,4,12,0,"",0,NA,NA,NA,NA,NA,123901869,"Wednesday"
2008,10,1,3,1100,1109,1219,1223,"UA",460,"N315UA",79,74,52,-4,-9,"DSM","ORD",299,14,13,0,"",0,NA,NA,NA,NA,NA,123903821,"Wednesday"
2008,10,1,3,601,607,724,721,"UA",494,"N329UA",83,74,55,3,-6,"DSM","ORD",299,13,15,0,"",0,NA,NA,NA,NA,NA,123904809,"Wednesday"
2008,10,1,3,1545,1545,1700,1659,"UA",514,"N335UA",75,74,53,1,0,"DSM","ORD",299,9,13,0,"",0,NA,NA,NA,NA,NA,123905369,"Wednesday"
2008,10,1,3,1855,1857,1954,2014,"UA",519,"N522UA",59,77,48,-20,-2,"ORD","DSM",299,2,9,0,"",0,NA,NA,NA,NA,NA,123905460,"Wednesday"
2008,10,1,3,722,659,754,749,"UA",809,"N565UA",92,110,78,5,23,"DSM","DEN",589,5,9,0,"",0,NA,NA,NA,NA,NA,123913510,"Wednesday"
2008,10,1,3,1231,1231,1502,1507,"UA",1178,"N335UA",91,96,77,-5,0,"DEN","DSM",589,3,11,0,"",0,NA,NA,NA,NA,NA,123918597,"Wednesday"
2008,10,1,3,2008,2014,2110,2131,"UA",1243,"N340UA",62,77,48,-21,-6,"ORD","DSM",299,3,11,0,"",0,NA,NA,NA,NA,NA,123920256,"Wednesday"
2008,10,1,3,1303,1310,1343,1357,"EV",5140,"N877AS",100,107,76,-14,-7,"CVG","DSM",505,4,20,0,"",0,NA,NA,NA,NA,NA,123995048,"Wednesday"
2008,10,1,3,1153,1155,1449,1457,"EV",5155,"N902EV",116,122,99,-8,-2,"DSM","ATL",743,12,5,0,"",0,NA,NA,NA,NA,NA,123995556,"Wednesday"
2008,10,1,3,959,1010,1126,1128,"EV",5166,"N902EV",147,138,115,-2,-11,"ATL","DSM",743,3,29,0,"",0,NA,NA,NA,NA,NA,123995816,"Wednesday"
2008,10,1,3,1600,1605,1835,1843,"EV",5231,"N837AS",95,98,79,-8,-5,"DSM","CVG",505,3,13,0,"",0,NA,NA,NA,NA,NA,123997882,"Wednesday"
2008,10,1,3,656,705,933,944,"EV",5275,"N844AS",97,99,82,-11,-9,"DSM","CVG",505,7,8,0,"",0,NA,NA,NA,NA,NA,123999035,"Wednesday"
2008,10,1,3,540,545,829,859,"EV",5406,"N980EV",109,134,95,-30,-5,"DSM","ATL",743,5,9,0,"",0,NA,NA,NA,NA,NA,124002686,"Wednesday"
2008,10,1,3,1428,1430,1721,1741,"EV",5416,"N877AS",113,131,95,-20,-2,"DSM","ATL",743,11,7,0,"",0,NA,NA,NA,NA,NA,124002922,"Wednesday"
2008,10,1,3,1939,1943,2048,2101,"EV",5532,"N843AS",129,138,109,-13,-4,"ATL","DSM",743,3,17,0,"",0,NA,NA,NA,NA,NA,124006447,"Wednesday"
2008,10,1,3,2047,2050,2114,2134,"EV",5018,"N872AS",87,104,75,-20,-3,"CVG","DSM",505,3,9,0,"",0,NA,NA,NA,NA,NA,124012061,"Wednesday"
2008,10,1,3,1402,1410,1512,1524,"EV",5058,"N837AS",130,134,113,-12,-8,"ATL","DSM",743,2,15,0,"",0,NA,NA,NA,NA,NA,124013477,"Wednesday"
2008,10,1,3,1101,1105,1243,1250,"MQ",3611,"N510MQ",102,105,90,-7,-4,"DFW","DSM",624,2,10,0,"",0,NA,NA,NA,NA,NA,124057890,"Wednesday"
2008,10,1,3,1315,1320,1504,1515,"MQ",3612,"N510MQ",109,115,80,-11,-5,"DSM","DFW",624,22,7,0,"",0,NA,NA,NA,NA,NA,124057917,"Wednesday"
2008,10,1,3,1859,1905,2039,2045,"MQ",3673,"N514MQ",100,100,86,-6,-6,"DFW","DSM",624,4,10,0,"",0,NA,NA,NA,NA,NA,124059348,"Wednesday"
2008,10,1,3,627,635,839,830,"MQ",3674,"N502MQ",132,115,86,9,-8,"DSM","DFW",624,34,12,0,"",0,NA,NA,NA,NA,NA,124059379,"Wednesday"
2008,10,1,3,1343,1345,1532,1530,"MQ",3677,"N509MQ",109,105,93,2,-2,"DFW","DSM",624,3,13,0,"",0,NA,NA,NA,NA,NA,124059472,"Wednesday"
2008,10,1,3,1601,1600,1743,1755,"MQ",3678,"N509MQ",102,115,81,-12,1,"DSM","DFW",624,10,11,0,"",0,NA,NA,NA,NA,NA,124059503,"Wednesday"
2008,10,1,3,1000,1005,1140,1200,"MQ",3706,"N517MQ",100,115,78,-20,-5,"DSM","DFW",624,15,7,0,"",0,NA,NA,NA,NA,NA,124060192,"Wednesday"
2008,10,1,3,745,750,938,935,"MQ",3711,"N517MQ",113,105,87,3,-5,"DFW","DSM",624,3,23,0,"",0,NA,NA,NA,NA,NA,124060347,"Wednesday"
2008,10,1,3,1825,1815,2008,2010,"MQ",3722,"N843MQ",103,115,87,-2,10,"DSM","DFW",624,6,10,0,"",0,NA,NA,NA,NA,NA,124060688,"Wednesday"
2008,10,1,3,1603,1555,1759,1745,"MQ",3723,"N843MQ",116,110,93,14,8,"DFW","DSM",624,3,20,0,"",0,NA,NA,NA,NA,NA,124060715,"Wednesday"
2008,10,1,3,1203,1155,1357,1355,"MQ",3840,"N641MQ",114,120,87,2,8,"DSM","DFW",624,15,12,0,"",0,NA,NA,NA,NA,NA,124063297,"Wednesday"
2008,10,1,3,939,940,1143,1130,"MQ",3841,"N641MQ",124,110,96,13,-1,"DFW","DSM",624,3,25,0,"",0,NA,NA,NA,NA,NA,124063328,"Wednesday"
2008,10,1,3,2138,2145,2242,2255,"MQ",4175,"N717MQ",64,70,45,-13,-7,"ORD","DSM",299,3,16,0,"",0,NA,NA,NA,NA,NA,124071119,"Wednesday"
2008,10,1,3,941,945,1050,1055,"MQ",4199,"N643MQ",69,70,53,-5,-4,"ORD","DSM",299,3,13,0,"",0,NA,NA,NA,NA,NA,124071630,"Wednesday"
2008,10,1,3,918,925,1024,1035,"MQ",4227,"N615MQ",66,70,52,-11,-7,"DSM","ORD",299,7,7,0,"",0,NA,NA,NA,NA,NA,124072350,"Wednesday"
2008,10,1,3,1244,1245,1353,1355,"MQ",4235,"N683MQ",69,70,45,-2,-1,"ORD","DSM",299,3,21,0,"",0,NA,NA,NA,NA,NA,124072586,"Wednesday"
2008,10,1,3,1117,1120,1222,1235,"MQ",4243,"N643MQ",65,75,53,-13,-3,"DSM","ORD",299,3,9,0,"",0,NA,NA,NA,NA,NA,124072803,"Wednesday"
2008,10,1,3,1417,1420,1523,1535,"MQ",4244,"N683MQ",66,75,54,-12,-3,"DSM","ORD",299,5,7,0,"",0,NA,NA,NA,NA,NA,124072834,"Wednesday"
2008,10,1,3,1648,1605,1754,1715,"MQ",4331,"N522MQ",66,70,49,39,43,"ORD","DSM",299,3,14,0,"",0,39,0,0,0,0,124075134,"Wednesday"
2008,10,1,3,1814,1745,1919,1900,"MQ",4333,"N522MQ",65,75,49,19,29,"DSM","ORD",299,8,8,0,"",0,0,0,0,0,19,124075196,"Wednesday"
2008,10,1,3,655,655,805,810,"MQ",4409,"N634MQ",70,75,50,-5,0,"DSM","ORD",299,4,16,0,"",0,NA,NA,NA,NA,NA,124077077,"Wednesday"
2008,10,1,3,755,750,858,900,"MQ",4489,"N615MQ",63,70,46,-2,5,"ORD","DSM",299,3,14,0,"",0,NA,NA,NA,NA,NA,124078497,"Wednesday"
2008,10,1,3,1724,1730,1823,1845,"MQ",4501,"N671MQ",59,75,45,-22,-6,"ORD","DSM",299,3,11,0,"",0,NA,NA,NA,NA,NA,124078773,"Wednesday"
2008,10,1,3,1901,1910,2001,2030,"MQ",4514,"N671MQ",60,80,48,-29,-9,"DSM","ORD",299,5,7,0,"",0,NA,NA,NA,NA,NA,124078978,"Wednesday"
2008,10,1,3,555,600,953,940,"MQ",4821,"N722MQ",178,160,157,13,-5,"DSM","LGA",1031,7,14,0,"",0,NA,NA,NA,NA,NA,124083675,"Wednesday"
2008,10,1,3,1809,1805,2013,2020,"MQ",4822,"N733MQ",184,195,145,-7,4,"LGA","DSM",1031,2,37,0,"",0,NA,NA,NA,NA,NA,124083702,"Wednesday"
2008,10,1,3,1135,1140,1328,1350,"9E",2850,"89809E",173,190,141,-22,-5,"LGA","DSM",1031,8,24,0,"",0,NA,NA,NA,NA,NA,124112963,"Wednesday"
2008,10,1,3,1459,1505,1846,1855,"9E",2851,"80259E",167,170,146,-9,-6,"DSM","LGA",1031,8,13,0,"",0,NA,NA,NA,NA,NA,124112994,"Wednesday"
2008,10,1,3,1435,1445,1531,1558,"9E",2862,"89809E",56,73,38,-27,-10,"DSM","MSP",232,11,7,0,"",0,NA,NA,NA,NA,NA,124113117,"Wednesday"
2008,10,1,3,1303,1305,1401,1420,"9E",2864,"80259E",58,75,38,-19,-2,"MSP","DSM",232,4,16,0,"",0,NA,NA,NA,NA,NA,124113202,"Wednesday"
2008,10,1,3,1600,1605,1703,1715,"9E",2892,"88479E",63,70,39,-12,-5,"DSM","MSP",232,13,11,0,"",0,NA,NA,NA,NA,NA,124113788,"Wednesday"
2008,10,1,3,1202,1204,1235,1255,"9E",2966,"87109E",93,111,76,-20,-2,"DTW","DSM",534,3,14,0,"",0,NA,NA,NA,NA,NA,124115922,"Wednesday"
2008,10,1,3,646,650,1008,1015,"9E",2998,"89149E",142,145,114,-7,-4,"DSM","DCA",897,5,23,0,"",0,NA,NA,NA,NA,NA,124116754,"Wednesday"
2008,10,1,3,1636,1640,1809,1825,"9E",2999,"89149E",153,165,123,-16,-4,"DCA","DSM",897,3,27,0,"",0,NA,NA,NA,NA,NA,124116785,"Wednesday"
2008,10,1,3,1322,1325,1616,1617,"9E",3762,"87109E",114,112,90,-1,-3,"DSM","DTW",534,9,15,0,"",0,NA,NA,NA,NA,NA,124118383,"Wednesday"
2008,10,1,3,1012,1005,1303,1255,"9E",3764,"87519E",111,110,85,8,7,"DSM","DTW",534,7,19,0,"",0,NA,NA,NA,NA,NA,124118414,"Wednesday"
2008,10,1,3,840,845,912,935,"9E",3765,"87519E",92,110,76,-23,-5,"DTW","DSM",534,3,13,0,"",0,NA,NA,NA,NA,NA,124118472,"Wednesday"
2008,10,1,3,1513,1515,1636,1630,"9E",4712,"80009E",83,75,44,6,-2,"MSP","DSM",232,5,34,0,"",0,NA,NA,NA,NA,NA,124119533,"Wednesday"
2008,10,1,3,1849,1855,1946,2005,"9E",4771,"89149E",57,70,42,-19,-6,"DSM","MSP",232,9,6,0,"",0,NA,NA,NA,NA,NA,124120752,"Wednesday"
2008,10,1,3,2234,2235,2332,2345,"9E",4772,"86239E",58,70,35,-13,-1,"MSP","DSM",232,2,21,0,"",0,NA,NA,NA,NA,NA,124120783,"Wednesday"
2008,10,1,3,1707,1710,1848,1850,"9E",5733,"80009E",101,100,69,-2,-3,"DSM","MEM",490,26,6,0,"",0,NA,NA,NA,NA,NA,124124518,"Wednesday"
2008,10,1,3,1100,1105,1229,1240,"9E",5737,"80019E",89,95,73,-11,-5,"DSM","MEM",490,6,10,0,"",0,NA,NA,NA,NA,NA,124124704,"Wednesday"
2008,10,1,3,842,850,1021,1030,"9E",5752,"80019E",99,100,74,-9,-8,"MEM","DSM",490,3,22,0,"",0,NA,NA,NA,NA,NA,124125002,"Wednesday"
2008,10,1,3,1351,1355,1541,1530,"9E",5792,"88479E",110,95,76,11,-4,"MEM","DSM",490,4,30,0,"",0,NA,NA,NA,NA,NA,124126737,"Wednesday"
2008,10,2,4,1255,1300,1508,1513,"XE",2479,"N15910",133,133,115,-5,-5,"IAH","DSM",802,6,12,0,"",0,NA,NA,NA,NA,NA,123810164,"Thursday"
2008,10,2,4,2017,1915,2223,2127,"XE",2568,"N16981",126,132,113,56,62,"IAH","DSM",802,3,10,0,"",0,56,0,0,0,0,123810234,"Thursday"
2008,10,2,4,645,650,858,907,"XE",2584,"N14905",133,137,113,-9,-5,"DSM","IAH",802,11,9,0,"",0,NA,NA,NA,NA,NA,123810247,"Thursday"
2008,10,2,4,1614,1600,1825,1820,"XE",2671,"N15910",131,140,119,5,14,"DSM","IAH",802,6,6,0,"",0,NA,NA,NA,NA,NA,123810321,"Thursday"
2008,10,2,4,835,820,941,932,"YV",7210,"N37208",66,72,49,9,15,"DSM","ORD",299,7,10,0,"",0,NA,NA,NA,NA,NA,123812287,"Thursday"
2008,10,2,4,1700,1644,1755,1756,"YV",7242,"N508MJ",55,72,43,-1,16,"DSM","ORD",299,7,5,0,"",0,NA,NA,NA,NA,NA,123812288,"Thursday"
2008,10,2,4,800,812,917,921,"YV",2748,"N17275",197,189,154,-4,-12,"DSM","PHX",1149,30,13,0,"",0,NA,NA,NA,NA,NA,123812289,"Thursday"
2008,10,2,4,1450,1450,1540,1550,"YV",2990,"N913FJ",170,180,148,-10,0,"DSM","PHX",1149,7,15,0,"",0,NA,NA,NA,NA,NA,123812290,"Thursday"
2008,10,2,4,700,642,814,752,"YV",7210,"N37208",74,70,51,22,18,"ORD","DSM",299,3,20,0,"",0,22,0,0,0,0,123812572,"Thursday"
2008,10,2,4,1524,1457,1626,1610,"YV",7242,"N508MJ",62,73,44,16,27,"ORD","DSM",299,5,13,0,"",0,0,0,0,0,16,123812573,"Thursday"
2008,10,2,4,904,904,1410,1356,"YV",2816,"N913FJ",186,172,143,14,0,"PHX","DSM",1149,7,36,0,"",0,NA,NA,NA,NA,NA,123812644,"Thursday"
2008,10,2,4,1845,1845,2335,2336,"YV",2818,"N17337",170,171,148,-1,0,"PHX","DSM",1149,6,16,0,"",0,NA,NA,NA,NA,NA,123812645,"Thursday"
2008,10,2,4,911,915,1009,1003,"OH",6583,"N779CA",118,108,82,6,-4,"CVG","DSM",505,5,31,0,"",0,NA,NA,NA,NA,NA,123833442,"Thursday"
2008,10,2,4,1130,1135,1411,1413,"OH",6610,"N779CA",101,98,80,-2,-5,"DSM","CVG",505,2,19,0,"",0,NA,NA,NA,NA,NA,123833466,"Thursday"
2008,10,2,4,925,925,1030,1035,"OO",2559,"N494CA",65,70,48,-5,0,"MKE","DSM",311,4,13,0,"",0,NA,NA,NA,NA,NA,123846446,"Thursday"
2008,10,2,4,1050,1100,1147,1205,"OO",2752,"N494CA",57,65,47,-18,-10,"DSM","MKE",311,4,6,0,"",0,NA,NA,NA,NA,NA,123847580,"Thursday"
2008,10,2,4,1413,1420,1517,1530,"OO",2753,"N498CA",64,70,50,-13,-7,"MKE","DSM",311,5,9,0,"",0,NA,NA,NA,NA,NA,123847651,"Thursday"
2008,10,2,4,1605,1620,1717,1725,"OO",2814,"N498CA",72,65,57,-8,-15,"DSM","MKE",311,6,9,0,"",0,NA,NA,NA,NA,NA,123848048,"Thursday"
2008,10,2,4,2156,2200,2313,2310,"OO",2815,"N495CA",77,70,51,3,-4,"MKE","DSM",311,7,19,0,"",0,NA,NA,NA,NA,NA,123848148,"Thursday"
2008,10,2,4,555,555,700,700,"OO",2878,"N479CA",65,65,47,0,0,"DSM","MKE",311,9,9,0,"",0,NA,NA,NA,NA,NA,123848645,"Thursday"
2008,10,2,4,1101,1108,1342,1340,"OO",5905,"N772SK",101,92,81,2,-7,"DEN","DSM",589,5,15,0,"",0,NA,NA,NA,NA,NA,123872041,"Thursday"
2008,10,2,4,1411,1417,1511,1506,"OO",5905,"N772SK",120,109,77,5,-6,"DSM","DEN",589,31,12,0,"",0,NA,NA,NA,NA,NA,123872064,"Thursday"
2008,10,2,4,1239,1212,1343,1320,"OO",5967,"N712SK",64,68,47,23,27,"ORD","DSM",299,4,13,0,"",0,23,0,0,0,0,123873797,"Thursday"
2008,10,2,4,1414,1356,1522,1508,"OO",5988,"N712SK",68,72,51,14,18,"DSM","ORD",299,4,13,0,"",0,NA,NA,NA,NA,NA,123874322,"Thursday"
2008,10,2,4,1155,1201,1233,1253,"UA",227,"N334UA",98,112,86,-20,-6,"DSM","DEN",589,4,8,0,"",0,NA,NA,NA,NA,NA,123896723,"Thursday"
2008,10,2,4,2006,2010,2243,2246,"UA",230,"N374UA",97,96,79,-3,-4,"DEN","DSM",589,4,14,0,"",0,NA,NA,NA,NA,NA,123896785,"Thursday"
2008,10,2,4,827,838,906,930,"UA",237,"N340UA",99,112,83,-24,-11,"DSM","DEN",589,9,7,0,"",0,NA,NA,NA,NA,NA,123896957,"Thursday"
2008,10,2,4,954,957,1110,1123,"UA",249,"N334UA",76,86,48,-13,-3,"ORD","DSM",299,12,16,0,"",0,NA,NA,NA,NA,NA,123897307,"Thursday"
2008,10,2,4,857,905,1004,1021,"UA",399,"N369UA",67,76,50,-17,-8,"ORD","DSM",299,3,14,0,"",0,NA,NA,NA,NA,NA,123901870,"Thursday"
2008,10,2,4,1102,1109,1216,1223,"UA",460,"N369UA",74,74,49,-7,-7,"DSM","ORD",299,14,11,0,"",0,NA,NA,NA,NA,NA,123903822,"Thursday"
2008,10,2,4,555,607,711,721,"UA",494,"N925UA",76,74,52,-10,-12,"DSM","ORD",299,4,20,0,"",0,NA,NA,NA,NA,NA,123904810,"Thursday"
2008,10,2,4,1542,1545,1711,1659,"UA",514,"N365UA",89,74,51,12,-3,"DSM","ORD",299,22,16,0,"",0,NA,NA,NA,NA,NA,123905370,"Thursday"
2008,10,2,4,1857,1857,2003,2014,"UA",519,"N535UA",66,77,44,-11,0,"ORD","DSM",299,3,19,0,"",0,NA,NA,NA,NA,NA,123905461,"Thursday"
2008,10,2,4,657,659,733,749,"UA",809,"N522UA",96,110,81,-16,-2,"DSM","DEN",589,6,9,0,"",0,NA,NA,NA,NA,NA,123913511,"Thursday"
2008,10,2,4,1508,1516,1746,1752,"UA",814,"N938UA",98,96,80,-6,-8,"DEN","DSM",589,4,14,0,"",0,NA,NA,NA,NA,NA,123913572,"Thursday"
2008,10,2,4,1825,1832,1902,1924,"UA",815,"N938UA",97,112,86,-22,-7,"DSM","DEN",589,4,7,0,"",0,NA,NA,NA,NA,NA,123913655,"Thursday"
2008,10,2,4,1226,1231,1502,1507,"UA",1178,"N365UA",96,96,82,-5,-5,"DEN","DSM",589,5,9,0,"",0,NA,NA,NA,NA,NA,123918598,"Thursday"
2008,10,2,4,2009,2014,2119,2131,"UA",1243,"N913UA",70,77,47,-12,-5,"ORD","DSM",299,5,18,0,"",0,NA,NA,NA,NA,NA,123920257,"Thursday"
2008,10,2,4,1314,1310,1345,1357,"EV",5140,"N937EV",91,107,77,-12,4,"CVG","DSM",505,5,9,0,"",0,NA,NA,NA,NA,NA,123995049,"Thursday"
2008,10,2,4,1418,1155,1717,1457,"EV",5155,"N841AS",119,122,98,140,143,"DSM","ATL",743,8,13,0,"",0,0,0,0,0,140,123995547,"Thursday"
2008,10,2,4,1004,1010,1358,1128,"EV",5166,"N841AS",NA,138,NA,NA,-6,"ATL","DSM",743,4,34,0,"",1,NA,NA,NA,NA,NA,123995819,"Thursday"
2008,10,2,4,1625,1605,1848,1843,"EV",5231,"N859AS",83,98,71,5,20,"DSM","CVG",505,4,8,0,"",0,NA,NA,NA,NA,NA,123997891,"Thursday"
2008,10,2,4,659,705,943,944,"EV",5275,"N843AS",104,99,87,-1,-6,"DSM","CVG",505,6,11,0,"",0,NA,NA,NA,NA,NA,123999025,"Thursday"
2008,10,2,4,538,545,901,859,"EV",5406,"N872AS",143,134,108,2,-7,"DSM","ATL",743,11,24,0,"",0,NA,NA,NA,NA,NA,124002697,"Thursday"
2008,10,2,4,1429,1430,1736,1741,"EV",5416,"N937EV",127,131,102,-5,-1,"DSM","ATL",743,9,16,0,"",0,NA,NA,NA,NA,NA,124002923,"Thursday"
2008,10,2,4,2029,1943,2138,2101,"EV",5532,"N889AS",129,138,101,37,46,"ATL","DSM",743,4,24,0,"",0,34,0,0,0,3,124006456,"Thursday"
2008,10,2,4,2040,2050,2123,2134,"EV",5018,"N978EV",103,104,82,-11,-10,"CVG","DSM",505,7,14,0,"",0,NA,NA,NA,NA,NA,124012045,"Thursday"
2008,10,2,4,1402,1410,1509,1524,"EV",5058,"N859AS",127,134,109,-15,-8,"ATL","DSM",743,5,13,0,"",0,NA,NA,NA,NA,NA,124013478,"Thursday"
2008,10,2,4,1101,1105,1246,1250,"MQ",3611,"N508MQ",105,105,86,-4,-4,"DFW","DSM",624,5,14,0,"",0,NA,NA,NA,NA,NA,124057891,"Thursday"
2008,10,2,4,1317,1320,1507,1515,"MQ",3612,"N508MQ",110,115,89,-8,-3,"DSM","DFW",624,15,6,0,"",0,NA,NA,NA,NA,NA,124057918,"Thursday"
2008,10,2,4,1901,1905,2031,2045,"MQ",3673,"N514MQ",90,100,77,-14,-4,"DFW","DSM",624,3,10,0,"",0,NA,NA,NA,NA,NA,124059349,"Thursday"
2008,10,2,4,626,635,807,830,"MQ",3674,"N514MQ",101,115,85,-23,-9,"DSM","DFW",624,9,7,0,"",0,NA,NA,NA,NA,NA,124059380,"Thursday"
2008,10,2,4,1400,1345,1550,1530,"MQ",3677,"N506MQ",110,105,80,20,15,"DFW","DSM",624,5,25,0,"",0,15,0,5,0,0,124059473,"Thursday"
2008,10,2,4,1607,1600,1742,1755,"MQ",3678,"N506MQ",95,115,82,-13,7,"DSM","DFW",624,8,5,0,"",0,NA,NA,NA,NA,NA,124059504,"Thursday"
2008,10,2,4,1005,1005,1157,1200,"MQ",3706,"N524MQ",112,115,85,-3,0,"DSM","DFW",624,16,11,0,"",0,NA,NA,NA,NA,NA,124060193,"Thursday"
2008,10,2,4,812,750,945,935,"MQ",3711,"N524MQ",93,105,79,10,22,"DFW","DSM",624,3,11,0,"",0,NA,NA,NA,NA,NA,124060348,"Thursday"
2008,10,2,4,1806,1815,1950,2010,"MQ",3722,"N835MQ",104,115,91,-20,-9,"DSM","DFW",624,6,7,0,"",0,NA,NA,NA,NA,NA,124060689,"Thursday"
