"Magnitude","Location","Latitude","Longitude","Depth..km.","EventId","Event.URL","Date","Time","Day","Country"
2.7,"79km NNE of Road Town",19.1075,-64.4049,44,"pr12279016","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279016","2012-10-05","13:14","Fri","British Virgin Islands"
3,"84km N of Road Town",19.1823,-64.5589,7,"pr12279015","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279015","2012-10-05","13:11","Fri","British Virgin Islands"
1.7,"23km NE of Greenfield",36.457,-121.0365,5.9,"nc71852660","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852660","2012-10-05","12:59","Fri","California"
2.6,"68km NE of Road Town",18.8087,-64.12,70,"pr12279012","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279012","2012-10-05","12:39","Fri","British Virgin Islands"
1.1,"10km NW of Carson",45.796,-121.908,8.8,"uw60472676","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472676","2012-10-05","12:36","Fri","Washington"
3,"86km NNE of Road Town",19.1765,-64.4089,45,"pr12279013","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279013","2012-10-05","12:35","Fri","British Virgin Islands"
3.2,"73km NNE of Road Town",19.0333,-64.3535,60,"pr12279011","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279011","2012-10-05","12:28","Fri","British Virgin Islands"
3.3,"136km N of Road Town",19.6289,-64.3926,13,"pr12279010","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279010","2012-10-05","11:59","Fri","British Virgin Islands"
1.6,"1km ESE of Big Bear Lake",34.2395,-116.8907,8.3,"ci15225193","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225193","2012-10-05","11:46","Fri","California"
4.2,"128km NNE of Road Town",19.4705,-64.1149,86,"pr12279009","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279009","2012-10-05","11:23","Fri","British Virgin Islands"
4.5,"197km SSW of `Ohonua",-23.038,-175.5088,35.02,"usc000d26i","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d26i","2012-10-05","11:19","Fri","Tonga"
1.5,"35km E of Pine Valley",32.8017,-116.1497,8.5,"ci15225185","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225185","2012-10-05","11:4","Fri","California"
0.9,"7km S of Cobb",38.7543,-122.7075,1.6,"nc71852630","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852630","2012-10-05","10:45","Fri","California"
2.1,"90km W of Talkeetna",62.3413,-151.8521,129.5,"ak10572532","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572532","2012-10-05","10:37","Fri","Alaska"
0.93,"51km W of Alamo",37.3025,-115.7418,7,"nn00390302","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390302","2012-10-05","10:33","Fri","Nevada"
4.4,"9km E of Kaman",39.3688,33.8334,4.77,"usc000d25k","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d25k","2012-10-05","10:25","Fri","Turkey"
1.3,"38km N of Valdez",61.4722,-146.3716,33,"ak10572529","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572529","2012-10-05","10:17","Fri","Alaska"
1,"31km NW of Searles Valley",35.9563,-117.663,4.1,"ci15225177","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225177","2012-10-05","10:16","Fri","California"
1.31,"28km SW of Lovelock",40.0125,-118.7313,7.98,"nn00390301","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390301","2012-10-05","10:12","Fri","Nevada"
1.8,"17km E of Pahala",19.1968,-155.3158,33.2,"hv60408541","http://earthquake.usgs.gov/earthquakes/eventpage/hv60408541","2012-10-05","10:11","Fri","Hawaii"
1.65,"44km S of Alamo",36.9667,-115.0828,7,"nn00390300","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390300","2012-10-05","10:5","Fri","Nevada"
0.44,"17km ESE of Hawthorne",38.452,-118.4528,0.96,"nn00390298","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390298","2012-10-05","9:42","Fri","Nevada"
0.9,"7km SSE of Salcha",64.4692,-146.8208,4.3,"ak10572521","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572521","2012-10-05","9:39","Fri","Alaska"
2.2,"127km NW of Kodiak Station",58.7093,-153.8357,33.1,"ak10572517","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572517","2012-10-05","9:31","Fri","Alaska"
0.2,"48km SSE of Beatty",36.4945,-116.5808,2,"nn00390297","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390297","2012-10-05","9:28","Fri","Nevada"
2.2,"31km NW of Searles Valley",35.9597,-117.6623,3.6,"ci15225169","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225169","2012-10-05","9:21","Fri","California"
1,"68km W of Healy",63.8936,-150.3619,4.7,"ak10572513","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572513","2012-10-05","9:9","Fri","Alaska"
0.3,"7km SSW of Mammoth Lakes",37.5898,-119.0012,4.4,"nc71852610","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852610","2012-10-05","9:2","Fri","California"
2.2,"17km S of Fern Acres",19.358,-155.0622,7.6,"hv60408516","http://earthquake.usgs.gov/earthquakes/eventpage/hv60408516","2012-10-05","8:59","Fri","Hawaii"
2.1,"110km NW of Talkeetna",63.0961,-151.4741,0,"ak10572504","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572504","2012-10-05","8:42","Fri","Alaska"
5,"159km N of Hirara",26.2335,125.1764,154.68,"usc000d23u","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d23u","2012-10-05","8:13","Fri","Japan"
1.44,"36km ESE of Big Pine",36.9983,-117.936,7.36,"nn00390295","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390295","2012-10-05","8:2","Fri","California"
1.5,"16km SE of Portola",39.7093,-120.3295,15.1,"nc71852605","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852605","2012-10-05","7:40","Fri","California"
1.6,"36km NNW of Valdez",61.426,-146.6386,29.4,"ak10572490","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572490","2012-10-05","7:23","Fri","Alaska"
1.1,"122km W of Cantwell",63.313,-151.3906,17.4,"ak10572486","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572486","2012-10-05","6:46","Fri","Alaska"
4,"194km NNE of Vieques",19.961,-65.4654,36,"pr12279006","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279006","2012-10-05","6:37","Fri","Puerto Rico"
1.59,"44km NW of Bunkerville",37.0752,-114.4613,2.04,"nn00390293","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390293","2012-10-05","6:34","Fri","Nevada"
1,"31km NW of Searles Valley",35.9535,-117.6657,4.2,"ci15225113","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225113","2012-10-05","6:27","Fri","California"
1.8,"42km WSW of Cantwell",63.1944,-149.6684,90.5,"ak10572479","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572479","2012-10-05","6:9","Fri","Alaska"
1.1,"17km ESE of Anza",33.5123,-116.4952,14.4,"ci15225105","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225105","2012-10-05","6:2","Fri","California"
1.9,"26km NNE of Upper Lake",39.3988,-122.8378,6.5,"nc71852575","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852575","2012-10-05","5:58","Fri","California"
1.1,"30km NW of Searles Valley",35.9288,-117.6775,3,"ci15225097","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225097","2012-10-05","5:46","Fri","California"
1.1,"30km NW of Searles Valley",35.9252,-117.6783,2.2,"ci15225089","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225089","2012-10-05","5:36","Fri","California"
0.9,"5km WSW of Cobb",38.7937,-122.7805,4.2,"nc71852565","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852565","2012-10-05","5:31","Fri","California"
1.6,"70km NE of Cape Yakataga",60.433,-141.3974,0.1,"ak10572466","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572466","2012-10-05","5:25","Fri","Alaska"
1.5,"10km NE of Hidden Valley Lake",38.869,-122.4632,9.8,"nc71852560","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852560","2012-10-05","5:25","Fri","California"
0.3,"3km SW of Cobb",38.7995,-122.7452,0.3,"nc71852555","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852555","2012-10-05","5:21","Fri","California"
1.2,"27km SE of Yosemite Valley",37.5477,-119.3775,11.2,"nc71852550","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852550","2012-10-05","5:15","Fri","California"
1.6,"31km NW of Searles Valley",35.9623,-117.665,2.9,"ci15225073","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225073","2012-10-05","5:10","Fri","California"
1.5,"31km NW of Searles Valley",35.9583,-117.6597,4.8,"ci15225065","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225065","2012-10-05","5:6","Fri","California"
1.9,"37km SW of Beatty",36.643,-117.011,7,"ci15225057","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225057","2012-10-05","5:5","Fri","Nevada"
1.7,"8km SSE of Volcano",19.3602,-155.2038,2.8,"hv60408481","http://earthquake.usgs.gov/earthquakes/eventpage/hv60408481","2012-10-05","5:0","Fri","Hawaii"
4.4,"17km WSW of Carlos Fonseca Amador",11.9307,-86.656,99.95,"usc000d21n","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d21n","2012-10-05","4:55","Fri","Nicaragua"
1.3,"31km NW of Searles Valley",35.9587,-117.6602,4.9,"ci15225049","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225049","2012-10-05","4:54","Fri","California"
1.7,"89km NW of Nikiski",61.289,-152.4018,0.9,"ak10572453","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572453","2012-10-05","4:50","Fri","Alaska"
1,"11km W of Cobb",38.8282,-122.8543,2.2,"nc71852545","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852545","2012-10-05","4:49","Fri","California"
3.1,"137km N of Road Town",19.6415,-64.378,40,"pr12279008","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279008","2012-10-05","4:38","Fri","British Virgin Islands"
0.26,"50km SSW of Beatty",36.494,-116.9888,7.55,"nn00390289","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390289","2012-10-05","4:27","Fri","Nevada"
0.3,"7km SSW of Mammoth Lakes",37.5883,-118.9975,5.5,"nc71852525","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852525","2012-10-05","4:15","Fri","California"
3.3,"73km N of Road Town",19.0779,-64.707,78,"pr12279007","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279007","2012-10-05","4:3","Fri","British Virgin Islands"
0.5,"5km SSW of Mammoth Lakes",37.6028,-119.0053,5.3,"nc71852740","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852740","2012-10-05","3:58","Fri","California"
0.6,"9km WNW of Cobb",38.8507,-122.8232,2.2,"nc71852520","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852520","2012-10-05","3:58","Fri","California"
1,"6km S of Cobb",38.7595,-122.729,3.2,"nc71852515","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852515","2012-10-05","3:41","Fri","California"
0.6,"6km S of Cobb",38.7607,-122.7317,2.8,"nc71852510","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852510","2012-10-05","3:38","Fri","California"
3,"82km NNE of Road Town",19.1322,-64.3824,52,"pr12279005","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279005","2012-10-05","3:25","Fri","British Virgin Islands"
0.8,"24km NNW of Shandon",35.8683,-120.433,15.6,"nc71852495","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852495","2012-10-05","2:51","Fri","California"
1.6,"14km N of Morgan Hill",37.2568,-121.6378,5.1,"nc71852485","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852485","2012-10-05","2:42","Fri","California"
1,"17km NE of Three Forks",46.0173,-111.4251,0,"mb28507","http://earthquake.usgs.gov/earthquakes/eventpage/mb28507","2012-10-05","2:38","Fri","Montana"
1.2,"8km S of Joshua Tree",34.0553,-116.3133,6.9,"ci15225033","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225033","2012-10-05","2:37","Fri","California"
3.3,"68km NNE of Road Town",18.9398,-64.2741,66,"pr12279004","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279004","2012-10-05","2:36","Fri","British Virgin Islands"
3.1,"70km NNE of Road Town",18.9629,-64.2707,68,"pr12279002","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279002","2012-10-05","2:23","Fri","British Virgin Islands"
2.7,"82km NNE of Road Town",19.1075,-64.3135,53,"pr12279003","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279003","2012-10-05","2:17","Fri","British Virgin Islands"
3,"65km NNE of Road Town",18.9689,-64.3841,59,"pr12279001","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279001","2012-10-05","2:8","Fri","British Virgin Islands"
0.43,"36km S of Goldfield",37.3845,-117.1863,35.62,"nn00390286","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390286","2012-10-05","2:3","Fri","Nevada"
1.5,"29km SSW of Toppenish",46.142,-120.4862,20.7,"uw60472641","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472641","2012-10-05","1:54","Fri","Washington"
1.3,"30km NW of Searles Valley",35.9285,-117.6832,2.4,"ci15225001","http://earthquake.usgs.gov/earthquakes/eventpage/ci15225001","2012-10-05","1:54","Fri","California"
1.6,"3km N of Fontana",34.1217,-117.4377,7.9,"ci15224993","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224993","2012-10-05","1:43","Fri","California"
1.6,"31km SSW of Toppenish",46.104,-120.4247,8.3,"uw60472631","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472631","2012-10-05","1:36","Fri","Washington"
3.5,"30km NW of Searles Valley",35.9285,-117.679,1.4,"ci15224969","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224969","2012-10-05","1:17","Fri","California"
0.9,"31km ESE of Riverbend",47.3472,-121.368,0,"uw60472616","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472616","2012-10-05","1:12","Fri","Washington"
3.4,"94km NNE of Road Town",19.236,-64.36,46,"pr12279000","http://earthquake.usgs.gov/earthquakes/eventpage/pr12279000","2012-10-05","1:10","Fri","British Virgin Islands"
1.5,"40km SE of Cantwell",63.1594,-148.3407,2.5,"ak10572407","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572407","2012-10-05","1:5","Fri","Alaska"
1.2,"8km WNW of Redoubt Volcano",60.5072,-152.8846,0.1,"ak10572398","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572398","2012-10-05","0:48","Fri","Alaska"
1.3,"73km ENE of Cantwell",63.5745,-147.5301,0,"ak10572397","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572397","2012-10-05","0:45","Fri","Alaska"
0.4,"5km NW of West Bishop",37.396,-118.5002,7,"nc71852465","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852465","2012-10-05","0:32","Fri","California"
1.6,"68km ENE of Cantwell",63.5464,-147.6274,3.7,"ak10572381","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572381","2012-10-05","0:21","Fri","Alaska"
5.5,"Northern Mid-Atlantic Ridge",17.4983,-46.467,9.96,"usc000d1z9","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d1z9","2012-10-05","0:19","Fri",NA
5.5,"Northern Mid-Atlantic Ridge",17.5086,-46.4649,10.03,"usc000d200","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d200","2012-10-05","0:15","Fri",NA
1.3,"4km SSE of Banning",33.8828,-116.8602,13,"ci15224953","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224953","2012-10-05","0:13","Fri","California"
0.4,"5km NW of West Bishop",37.3953,-118.5023,7.3,"nc71852460","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852460","2012-10-05","0:13","Fri","California"
0.8,"30km W of Ester",64.8276,-148.6628,3.1,"ak10572373","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572373","2012-10-05","0:6","Fri","Alaska"
2.2,"67km ENE of Cantwell",63.562,-147.6485,1.6,"ak10572362","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572362","2012-10-05","0:4","Fri","Alaska"
2.2,"67km ENE of Cantwell",63.5696,-147.6499,2.3,"ak10572358","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572358","2012-10-05","0:0","Fri","Alaska"
1.7,"3km NE of Heber",32.7548,-115.4978,9.8,"ci15224945","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224945","2012-10-04","23:33","Thurs","California"
4.8,"Northern Mid-Atlantic Ridge",17.5669,-46.4293,10.06,"usc000d1xp","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d1xp","2012-10-04","23:27","Thurs",NA
2,"40km N of Inyokern",36.012,-117.8183,0,"ci15224937","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224937","2012-10-04","23:22","Thurs","California"
1.4,"28km NNE of Badger",65.0204,-147.2166,0.2,"ak10572174","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572174","2012-10-04","23:20","Thurs","Alaska"
5.5,"Northern Mid-Atlantic Ridge",17.4561,-46.5102,10.06,"usc000d1x9","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d1x9","2012-10-04","23:14","Thurs",NA
0.5,"6km SE of Valle Vista",33.7127,-116.837,16.3,"ci15224921","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224921","2012-10-04","23:9","Thurs","California"
0.2,"8km ESE of Valle Vista",33.707,-116.8183,15.4,"ci37096652","http://earthquake.usgs.gov/earthquakes/eventpage/ci37096652","2012-10-04","23:7","Thurs","California"
0.6,"6km SE of Valle Vista",33.7108,-116.8373,16.7,"ci15224929","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224929","2012-10-04","23:7","Thurs","California"
1.5,"6km SE of Valle Vista",33.7137,-116.8413,17.7,"ci15224913","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224913","2012-10-04","23:6","Thurs","California"
0.6,"6km SSE of Idyllwild",33.6848,-116.6907,18.5,"ci15224905","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224905","2012-10-04","22:47","Thurs","California"
1.5,"81km W of Cantwell",63.3025,-150.5731,135.3,"ak10572147","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572147","2012-10-04","22:42","Thurs","Alaska"
3.4,"131km NNE of Road Town",19.573,-64.3265,54,"pr12278008","http://earthquake.usgs.gov/earthquakes/eventpage/pr12278008","2012-10-04","22:25","Thurs","British Virgin Islands"
4.4,"12km ESE of Roshtqal'a",37.2116,71.9515,68.76,"usc000d1w0","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d1w0","2012-10-04","22:10","Thurs","Tajikistan"
1.9,"29km SSW of Battle Mountain",40.4152,-117.1075,7.29,"nn00390270","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390270","2012-10-04","22:4","Thurs","Nevada"
2,"16km ENE of Anchor Point",59.8574,-151.5821,67.7,"ak10572115","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572115","2012-10-04","21:41","Thurs","Alaska"
0.9,"6km WSW of Cobb",38.8045,-122.7967,1.3,"nc71852415","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852415","2012-10-04","21:35","Thurs","California"
1.2,"6km WSW of Cobb",38.804,-122.793,0,"nc71852410","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852410","2012-10-04","21:35","Thurs","California"
1,"6km WSW of Cobb",38.8043,-122.7935,0.5,"nc71852405","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852405","2012-10-04","21:35","Thurs","California"
4.5,"55km S of Sinabang",1.9768,96.4101,29.64,"usc000d1up","http://earthquake.usgs.gov/earthquakes/eventpage/usc000d1up","2012-10-04","21:23","Thurs","Indonesia"
1.6,"9km SSE of Cabazon",33.831,-116.7585,16.3,"ci15224889","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224889","2012-10-04","21:21","Thurs","California"
2.2,"14km S of Princeton",49.3292,-120.484,0,"uw60472536","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472536","2012-10-04","21:19","Thurs","Canada"
0.9,"42km N of Inyokern",36.02,-117.8983,7,"ci15224873","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224873","2012-10-04","21:7","Thurs","California"
2.7,"41km NNE of Talkeetna",62.661,-149.7907,10.1,"ak10572085","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572085","2012-10-04","20:50","Thurs","Alaska"
3,"80km NNW of Road Town",19.1308,-64.7837,75,"pr12278007","http://earthquake.usgs.gov/earthquakes/eventpage/pr12278007","2012-10-04","20:45","Thurs","British Virgin Islands"
1.97,"5km WNW of Summerlin South",36.1197,-115.4435,4.52,"nn00390256","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390256","2012-10-04","20:30","Thurs","Nevada"
0.7,"7km SSW of Idyllwild-Pine Cove",33.6753,-116.7507,15.7,"ci15224849","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224849","2012-10-04","20:25","Thurs","California"
1.1,"2km NNE of Boonville",39.0297,-123.3607,12.7,"nc71852360","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852360","2012-10-04","20:0","Thurs","California"
0.8,"6km SSE of Idyllwild",33.6852,-116.6903,18.6,"ci15224841","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224841","2012-10-04","19:50","Thurs","California"
2.25,"60km W of Beatty",36.8889,-117.4338,10.7079,"nn00390248","http://earthquake.usgs.gov/earthquakes/eventpage/nn00390248","2012-10-04","19:49","Thurs","Nevada"
1.9,"25km NW of Fishhook",61.9052,-149.5677,34.1,"ak10572061","http://earthquake.usgs.gov/earthquakes/eventpage/ak10572061","2012-10-04","19:45","Thurs","Alaska"
0.8,"6km SSE of Idyllwild",33.6853,-116.6903,18.3,"ci15224833","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224833","2012-10-04","19:38","Thurs","California"
2.5,"2km ESE of Pepeekeo",19.8268,-155.08,41.3,"hv60408311","http://earthquake.usgs.gov/earthquakes/eventpage/hv60408311","2012-10-04","19:38","Thurs","Hawaii"
1.3,"6km SSE of Idyllwild",33.6848,-116.6925,18.6,"ci15224825","http://earthquake.usgs.gov/earthquakes/eventpage/ci15224825","2012-10-04","19:37","Thurs","California"
0.7,"7km WSW of Cobb",38.8077,-122.8027,1.7,"nc71852340","http://earthquake.usgs.gov/earthquakes/eventpage/nc71852340","2012-10-04","19:17","Thurs","California"
1.7,"12km SSW of Friday Harbor",48.4238,-123.0647,20.6,"uw60472501","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472501","2012-10-04","19:4","Thurs","Washington"
0.2,"9km S of Seabeck",47.559,-122.8462,20.5,"uw60472496","http://earthquake.usgs.gov/earthquakes/eventpage/uw60472496","2012-10-04","19:1","Thurs","Washington"
